reviews,labels
"great album - some serious stuff: first off, i've bought all of tonis other albums. this one took me three listenings to really get to like it. when i found out that it was about a child being born and how her life progressed, i found the work all the more interesting. some of the songs really stick in your mind. if you see the album as a story (of a girls life) it makes the album much more interesting than just listening to the album song by song.pink floyd used to do this, have an album which was a theme or story, like the wall album.i took the cd out of my colection after not listening to it for about 0 months, and have been playing it in my car on the way to work and home for over a week now.it's great. and i'm not a female by the way.nice album. if you like tonis other works,.....get it.",positive
"good quality, but high shipping charge: the scratch resistant screen guard protector is fit perfectly on the screen of htc cingular 0000. quality of the screen guard protector is very good. only negative point is high shipping charge. it cost me $0.00 as shipping for buying this item which cost $ 0.00 amazon has to reduce the shipping charge, or reduce the shipping charge for combined items. any way best buy.",positive
couldn't even finish it.: i couldn't even finish the book. i got about half way through and realized i wasn't paying attention and didn't care. nothing like harry potter - not fun at all. i can't recommend this at all!,negative
great choice for bedtime or anytime!: we were given this book as a shower gift before our kids were born and i was somewhat skeptical but it has turned out to be a favorite. our daughter loves to name the animals and their sounds and has learned her colours from these wonderful books. the pictures are just right as is the wonderful text that is just enough repetition that she 'gets it' to participate with the reading. a great asset to your children's library... or shower gift for those people who have everything already!,positive
"fun for all ages!: having received this video as a gift, we watched it as a family, accompanied by a lot of laughter and ""i didn't know that"". the kids managed to show this to most of their friends, the youngest even taking it to school where his 0st grade teacher used it as a part of her unit on careers.the video is an overall winner. anyone, any age, will enjoy the playful and informative story and all will come away with a greater understanding and respect for both the lobster and the lobsterman. buy it!",positive
contemplating marriage...a must read.: this book is used by many marriage counselors. but i believe if you are getting married this book should be required reading. it provides true insight to what makes us tick and how to keep the fire burning bright which should be every expecting to be couple's heart desire.,positive
"ran the stoplight?: listened to this cd closely for the first time in a while. i've forgotten how outstanding this cd is. while i have not heard pure, i have ordered it hoping it that will be anything close to this cd - and hopefully far away from dead inside which is a whole different planet. great vocals, great music, great lyrics, it has it all.",positive
"excelente compilación de lo mejor de caifanes: debido a los otros comentarios al respecto de este disco quiero aclarar que caifanes no es lo mismo que jaguares. son dos grupos diferentes ya que en caifanes la guitarra estaba en primer plano. el unico pero que le pongo a este cd es que solo incluyeron 0 canciones del mtv unplugged. me hubiera gustado que incluyeran todo el mtv unplugged en el segundo disco. las guitarras de marcovich se aprecian mas en las versiones en vivo ya que existe la certeza de que no hay ""overdubbing"" (regrabaciones). un buen disco para empezar. estoy seguro que si este es el primer disco de caifanes que se adquiere pronto nacera la curiosidad por conocer las canciones que no se incluyen de los otros discos.",positive
not prepared as an ebook: this book has two stories writen at the same time. in the original pbook format one story was written in left pages and the other in the right pages. but this is all lost in the kindle and its very complicated to follow the story. i can not uderestand how they dare to sell a product not propared to be used properlly by its readers.,negative
"thanks for the 0000s home movie ken burns: the documentary is typical ken burns... interesting, but a little meandering at times.the real shame of this version is the grainy video that is painfully apparent on a large hd display. burns' panned still images are crystal clear showing every blemish and fold of the old photographs but his shots of the majestic scenery in the parks are marred by his poor choice of camera and film. i will say the soundtrack is fairly well done even if peter coyote (narrator) is a little dry.do not bother with the blu ray version, you will not get anything more than the standard dvd version with this series.",negative
"not nearly as good as the first series: this book is nowhere near as good as the the first series! it seriosly lacks exement!in other words don't buy it, if you really want to read it, get it from the libray. i would not recomend it to anybody.",negative
"harrison ford at his very best! witness rules!: ""witness"" is about ford and an amish boy who witnesses a murder. now, the amish don't beleive in killing and guns - and to have their child see that sort of stuff is just terrible. now, men who were involved in the murder are out to murder the amish boy! suspenseful and red - blooded, ""witness"" is an awsome film! i loved it and i bet anyone will, too! enjoy!",positive
"excellently drawn characters: nina's characters are complex and drawn well, it is evident that she took some time to think about her character's motivations. if i were a writer i might have written the ending differently, but that is okay, my book club talked about this one for awhile. a good exploration of the line between admiring someone and stalking and a bold exploration of the dark side of behavior. if you are looked for a well plotted, interesting story, this is for you. it is not one of those books with lots of sex and no plot as you might think at first. i was pleasantly surprised and look forward to whatever ms. foxx has up her sleeve next.",positive
it's nice: i've saved a lot of space by hanging my shoes up with this. for heavier shoes you have to use more than one hanger though,positive
"one of the best albums i've owned.: a few years back my father got me hooked on this album. it was the first cd i ever owned. an ex-girlfriend liked it so much that after we broke up she declared that cd was not coming with me.i couldn't blame her. the mix of blues and spirituals with cooder's unique playing makes this one the most intesting albums i own. the medley of ""feeling good"" and ""fool for a cigarette"" is one of my favorites as well as balads like ""mexican divorce"" and ""jesus on the main line"".the album also has some songs that keep it from taking itself too seriously. the song ""if walls could talk"" has a catchy riff and great words.cooder's great acoustic style shines through on what was a break-through album of the time and holds up years later. i always hear something that i missed on previous listenings.although you don't need to be a guitar player to appreciate this album, every acoustic player should hear the fine guitar work. enjoy!",positive
great for making dough: i ordered this bread machine for a vacation home that we own. i have a cuisinart at my year-round home and it just has too many bells and whistles that i never use - and cost a lot more. the sunbeam makes a great dough and was a great price.,positive
"mac owners beware: my wife purchased a rocket ebook for me for christmas. she started here at amazon. she carefully checked the rocket web site as well, and spoke to the folks that make the rocket. she was assured that everything required to use the rocket with a mac was included. wrong! any mac currently being made or made during the past year or so requires a keyspan connector between the e-book and the mac usb slot. this costs $00. it is not mentioned in any documentation that comes with the ebook. it took me more than an hour to get through to the company. at first they responded by saying it was at their website and/or in the faq section, but we ""went to their web site together"" while i was on the phone, and they reluctantly conceded that they had mislead the public. the company does literature. guide provided on the ebook. regardless of how much i may eventually enjoy this toy, i'll never develop a high regard for nuvomedia, which makes the rocket ebook.",negative
"a disaster one month at a time: upon receipt it was dead, after a mixture of e-mailes and phone calls it was determined i needed to use 0 usb cables to power the drive. since i only have 0 on my laptop, i cant print from the drive. after transfering 00 gig of pictures and 00 gig of mp0's the unit failed the next month. again emails and phone calls determined my laptop did not have enough power to run the drive. the solution was an ac adapter.....great for a ""portable usb drive"" they said an ac adaptor would be sent...no adapter after 0 weeks now. i tried the drive on 0 other desktops, plenty of usb power, but no luck. i have lost so much information, pictures, and music and now no emails refering to my ""service number"" are being answered at all.a total lack of customer servive and knolage of their own product. think long and hard before dealing with iogear!!",negative
"junk: i just got my dvd in today and i tried to watch it but there seems to be nothing on both discs, i have tried it in my dvd player and my computer, nothing is on both discs, nothing will load, i got robbed.if there were something on both discs, i'd give it a high rating, but for now, all i'll give is one star.",negative
it is fun and a nice car: it is a nice car - better than a already made car - your son will have fun assemble it will even do some changes and when he finish he can continue playing as if it were a standard car.,positive
"robbery: this is a horrible disc, all of the songs, save one or two, have been reworked. if your looking for a cd to hear bygone favorites, as they were originally done, this is not the disc.",negative
definitely works: have used this and it definitely gets u going to the potty!! bye bye water weight! i just don't like that it has to steep for a while...i am impatient.,positive
excellent: all of james patterson's books (women's murder club) have kept me in suspense. i would be glad to say that it have been a thrill to read them,positive
everyone needs to let it go!: i'm sick of everyone saying ashlee has no talent. if she had no talent she wouldn't have a record deal. she is only 00 and talks about 00 year old things. people seem to forget that she has been on tv for 0 years and that is why people already know her. i appreciate her music b/c it is her music. she's more than many musicians today-she's writing the lyrics rather than singing other people's songs. the album is good. quit putting her down and appreciate her for her hard work! she sings a lot better than other musicians you all like!,positive
"not even ok.: i'm a pilot, and i'm giving up on this product. i've been trying to use it, calibrate it, get it to respond somewhat close to the way a real aircraft responds, and it just doesn't work. it is possible i'm doing something wrong, but it should not take several hours of trying to figure out the right way. i've reduced sensitivity to zero and it still won't respond realistically.",negative
"one minute to zero: movie had a great story, but filming methods of that time was not that great. i enjoyed the movie mostly because i had met the stars when they were in colorado springs during the filming of some of the movie.i purchased this movie from amazon.",negative
just like when i was a kid!: i bought this for my daughter when she was almost 0yrs. and she loved it from the start. the music is a little annoying but that is my problem not hers. she has stood on top of it and it has been dropped down the stairs and it still works fine!i would definalty reccomend this toy!,positive
disappointed:: i was disappointed with this book. since it said hallelujah on the cover i though it was raw food recipes. i will be giving it away for a gift when i need something for a gift the next time.this book should of never been put with the hallelujah diet book.,negative
"this muse is a slumber!: actually, i thought i had ordered the cd of the tv show. unfortunately, it wasn't. amazom staff admitted that the pics on the sell page were misleading. we've listened and it's not worth much. curious how a tv sound track can be so engaging and another cd so trite and shallow. buyer beware.",negative
"not necessary.: i bought this neck strap with my camera, thinking i would be insane not to have a strap to put around my neck.i learned, however, that it really isn't necessary. the elphs are so tiny that they easily fit into your pocket. the other option is to wind the included wrist strap around your wrist. they're so lightweight that you barely notice they're there.",negative
"men with brooms: if you love the sport of curling, do not watch this movie! the acting is just okay. don't let your kids watch this movie as there is a lot of profanity in it. the movie isn't awful, but it isn't good either. the curling action is not realistic.",negative
"works great for me: after my last panasonic shaver mysteriously disappeared when i moved across the country, i decided to try this one, since the price was so cheap i wouldn't be kicking myself if the other shaver is rediscovered in a moving box somewhere. i have been very pleased with it, and love shaving in the shower with it. like others, i have found that the neck area requires a little more attention and a few extra passes to get the job done, but well worth it for a close shave with no bleeding. it took over a month for the product to be delivered from amazon, since they were out of stock when i ordered.",positive
"item doen't work: this ups never worked from day one when i pluged it up.the lcd display only comes on when it's working off the battery,and i cant get it to charge the battery because it seems like its not seeing the power source it just doesn't work.",negative
"not for burning: within 00 minutes these candles were completely melted and now my carpet is a mess. more for decoration and with that being the case, these candles are too expensive for what your getting.",negative
"lost: a friend gave me a copy of ""dresden"" and i watched it many times before giving it back and ordering my own copy. i watched the movie several times for different reasons: 0. history, 0. view from the german side, 0. view from the british side, 0. acting skills. i love the movie, am impressed with f. woll's in the main role. i think some scenes were too hollywood, loved the honesty of the script, not too much violence, but one can start to feel the horror of the bombings and being trapped in cellars and on the ground by the devastating fires. i was a mistake, a big one, history was destroyed as it often is in wars. did the germans deserve this so much emotionally human reaction? yes and no. not only the germans or the people of dresden lost a jewel.",positive
"lame: i agree with the kids review below. this album along with all of their others is garbage. they just keep putting out the same album over and over.do you really think in 00, 00, even 00 years, people are going to be playing nickelback cds and saying, ""wow they were a great band""? who goes around blasting creed, poison, cinderella, ratt, or c&c; music factory? this band will be forgotten just like these others.it's textbook rock ballad garbage with no thought or feeling put into the song writing. they have found a formula that somehow sells records and so they've stuck with it. watch their live performances with chad's gay permed haircut. someone should take their instruments away so they won't poison rock music anymore.",negative
"great movie!: this is the epitome of a ""b"" western movie, but it's hilarious! andy griffith, tom berrenger, marilou henner and selma ward--all of them did a great job on this!",positive
"yummy!: these are individually wrapped and there are approximately 00 cookies in each box. they have a nice flavor and are fresh and crispy. the fortunes are standard fortune cookie fare. very few of these were broken during shipping. i definitely recommend these if you like fortune cookies. they are a low-calorie, low-fat snack. yummy!",positive
"great speaker package for the money!: polk audio rm0000 0.0 channel home theater speaker system, black finishi have been using this speaker system for about a year with a sony str-dg000. i am very pleased with the performance of this package especially at the price point. my friends and family have all been impressed remarking that the system sounds like a movie theater. bass from sub-woofer is deep and powerful and the center speaker reproduces dialoge beautifully. what is also nice, polk sells seperate surround speakers so i can make a 0.0 system since my sony receiver has that capability. don't worry if you are thinking about rm0000, i have enjoyed mine from the start!",positive
"misleading specs: va 0/0 inch rotaty files and rasps are not 0/0 inch in diameter. they can be up to 0/00 smaller depending on product number. ie: 00000 is labeled 00.0 mm, yet va's spec is 00.0 mm, and 00000 is labeled 00.0 mm, yet va's spec is 00.0 mm",negative
"kfm: i first saw kentucky fried movie when i was 00 years old. i am now 00. a friend of mine mentioned a line from the movie and it was so funny that i went online to buy this movie to show my son and also to see it again with my friends now. it is made up of little skits that are all funny. maybe a little silly also, but still a good movie to hang out and watch.",positive
"funkin amazing and out there: like strayhorn and the duke, gil really found someone he could bounce off in the shape of brian jackson. his earlier stuff is pure gold, but very droney sometimes... but this!!!this i never tire of. the songs still sound so vibrant and fresh.the live version of 'home is where the hatred is' has been sampled by masters @ work, and is a muso's dream to get into.'hello sunday hello road is one of the grooviest tracks around, and you just can fail to move along and understand the message of 'it's your world.' my mum used to have the lp, secrets, with the cats face on the cover. angel dust is a spacey reincarnation of whats it's like to trip out on the stuff, and the lyrics to showbusiness are more relevent today than ever before.this is one of the best and most valuble compilations of gils to come out, and is an essential purchase for and funkster and poet.",positive
"great art, great action: jedis are great and all, but i really enjoy the war aspect of this series. vol 0 was good, vol 0 started really picking up in the last section, and vol 0 really gets to it--war! its the volumes like this one that make me wish they had a series devoted to clone troopers, republic commandos, and arcs (esp alpha). good inking and artwork. straight-forward plot, almost near constant action, and it was good to see the republic actually defeated here. nice character development for anakin. this volume has been my favorite so far...looking forward to getting vol 0.",positive
"good for stretching, not to get a workout.: i've been to yoga classes where you get more of a workout than this one. this is more like a stretching exercise. my complaint is a lot of the stretches seemed to repeat many times. the equipment required for use to follow the exercise like the block, straps are kinda specialised items you'd have to buy. i tried to substitue with items i can find at home like a step stool, and rope.for a real workout, i prefer the perfect pregnancy workout dvd with karyne steben.",negative
"terrible acting: this movie could have been good, but the acting was so bad i turned it off after 00 minutes (i can't even believe i watched it that long) i was hoping something would change, the plot was a good, but could not even get into any of the characters. i don't recommend this movie.",negative
out standing: this item make's my bathroom look like you don't want to leave the room.i wish there were other item's to match the seat. thank you!,positive
"amazing first single!!!: the first single from this album is called ""through the rain"". it's like old mariah only even better. this is a beautiful ballad which has a similiar theme to ""hero"" or ""can't take that away"", but is even more incredible. if you liked ""old"" mariah, you will want this album. she does have rappers on it, but they aren't the main focus. it's such a beatiful song and i have heard soooooooooo many good things about this album ~ and not just from fans but from critics too! go to her official site to listen to through the rain <url>",positive
"awkward and trite, too many cliches for me.: while the subject matter of ""the last dive"" is compeling enough to carry its own story line, the author's attempts to interject contrived dialogue is embarrasing and a deteriment to his otherwise skillfull writing. chowdhury would have been well advised to simply tell the story and not try to animate it with guessed-at dialogue. i came away disliking the ""cowboy-like"" father and son diving team and their tragic demise came as no surprise. chowdhury's techincal explanations and descrption of the history of the sport are very good. unfortunately his fictionalizing of the varous conversations is more cartoon than clever.",negative
"what a pervert!: this was a horrible book!anthony is a sadistic pedophiliac who had been ""watching [the heroine] from afar"". he had even gone so far as to have her tutored in a language he wanted her to speak.it sickened me that the character was made to fall in love with her rapist.""love"" does not justify rape or whipping a woman or any of the other sick things in this book.",negative
"mitusmi extrenal usb floppy drive: the unit itself seems to be a good unit. however... it is a terrible device for using in windows 0 pro. there are no drivers for it, and you can't not get customer support to answers to your correspondence, for it. so if your going to try to use it in windows 0... for now, for get it.",negative
"my dog's favorite toy by far!: i bought the duck for my 0 pound poodle and it became his favorite toy. the sound of the duck scared him though, but the great part is if they don't like it you can just remove it and they still love just the plush toy. it's perfect for even the smallest dogs and can easily be carried around and played with. the design makes it easy for small dogs to get their mouths around to pick up. i would not recommend this for very destructive dogs though as the limbs might get torn off.",positive
"romantic rape?: i enjoy romance novels. i do not enjoy reading about a woman who is abducted, continually raped, impregnated, and then falls in love with her rapist. i kept reading hoping that he would get his just dessert. but he didn't. she falls in love with him and he gets ""reformed."" ????? the whole time all i could think was--this is called stockholm syndrome! i was horrified that this was considered a romance. the rape scenes were graphic and, in many cases, violent.johanna lindsey should be ashamed of herself for making rape romantic. it is horrible. do not read!!!",negative
"did not live up to the hype; not even close.: i really was disappointed in this book. with all the hype i expected it to be filled with revolutionary ideas and recipes for totally green smoothies. there are a few interesting details such as the thought that our diet should more closely resemble chimps. basically we should eat more greens. other than that much of it is hard to believe. there is absolutely no way all those people (first name only) were cured of illnesses by drinking one quart of green smoothies. sorry... but no way. please, moles and warts just fell off.... that kind of claim is a total turn off. the recipes are plain old one cup of greens with fruit and ice. so basically eating one cup of spinach a day, ground up, will cure diabetes? way over rated. i read it in one night and it is definitely not something i would want to keep as a reference for anything. get it out of the library.",negative
"it's the unthinkable!: the only reason that i am giving 0 stars is because the author did not list all the victims of dr. shipman's unsuspected reign of terror in lancashire. in his long career, he probably killed at least 000 victims--men, women, children, for no apparent reason until he was stopped by the law. sadly, i cannot stop thinking about all the victims who had dreams to see israel, cruise, grow up, or old with their loved ones in lancashire. dr. shipman was supposed to be respected and trusted with their lives; he killed his beloved patients without such motives at all. the book is an easy read unless you're trying to find out the victims and give them a proper memorial. this book is for those victims and their families! maybe we can learn from what happened in lancashire!",positive
"love him but this a terrible movie: the characters never really fully develop and, it's a dark miserable story with people running, crying, screaming, at times you need to stop and say to yourself what's going on. i felt nothing for him as a character neither did i feel anything for any of them, i wasn't socked i was bored.it's ok to watch on an airplane ride so you can fall asleep...from 0 to 00 i give a 0",negative
"great for baby bonding, bad for sids aspect.: i was very excited about this book, until my baby died of sids. i think it has some great info. on breastfeeding, etc., but the chapter on sids is simply incorrect.the author, like dr. sears, is a huge bed sharing advocate. the us comsumer product safety commission, just concluded a 0 year study that strongly advises against bed sharing to reduce sids. the american academy of pediactrics and us public health svc. back up this study. since our loss, it's important to me that the correct info. gets circulated. see the sids alliance web page for more information about sids.",negative
"pedco digital ultrapod ii: this is a really nice accessory for any photographer. it fully supports my ""tweener"" camera even while fully zoomed. it is extremely lightweight and durable. the strap is a great feature - i have strapped the tripod to railings, benches, tree branches, etc. it is easy to attach to my camera and has complete range of motion. i take it with me every time i grab my camera.",positive
"classic soulful cuts: this is a compilation that you can share with your love one or just chill to.the isley brothers,intruders,sly&the family stone,tyrone davis,gladys knight&the pips among others make this a very soulful collection.",positive
"very helpful.: i ordered this to accompany the pimsleur language russian program, as pimsleur, although very powerful for learning to speak, has little more than a pamphlet to teach you to read. so, i picked this up, and it is very handy. it has made the process of learning to read fairly easay and enjoyable.i would have rated this a 0, however, because you lose a lot of the meat of the book if you don't have the audio recordings, which aren't included in the book. at least, they weren't with mine. however, i poked around online and found that they're available for download off this <url>i don't know how long that site will be up, but if you intend to use this book to teach yourself to read and speak, those mp0s will be invaluable.",positive
"not as it looks!: heart pendant does not look as pretty as in the picture, there's this gold topaz covering on both sides that totally ruins the look of the normal swarovski crystal, in other words, no colors shine at all. same thing in on other sites for like $0. speedy delivery was the only positive.",negative
"i like it!!!: i love the compactness of this waterpik. i had the larger one and this one is far more convenient. you don't have to invert the reservoir and the power of the jet is actually stronger than the bigger model. granted, the smaller amount of liquid in the reservoir was a little disappointing, but i just keep another cup ready to refill it while i am still using the pik. it is definitely easy to use and, of course, that means it will be used more often and the check ups at the dentist attest to the positive impact it has. i most often use a salt & warm water solution and it works great.",positive
"this book is the worst i've read.: i make candles and export them for a living. i read a lot of wax candle and gel candle making books ... ! it doesn't fit for anyone one at all, be it an amateur or an intermediate level crafter. believe me, it's best for you to avoid buying this book. it's not worth your money and time reading.",negative
"bad bad bad!!!!: this cd is terrible!!!! if you've ever seen the commercial for ""kids bop"" its almost the same thing!!! none of the origanal artists!!! all done by ""the hit crew"" !!! the title of the page says ""various artists"" which means many different artists and it was all one stupid band called ""the hit crew""!!! dont buy it!!! it is terrible!!!",negative
recorder book: granddaughter is not very good at reading music so i hope this book will help guide her when she needs it.,positive
"huge letdown: i can't understand all of the good reviews for this film, which i found to be a huge disappointment. bad performances, coupled with awful direction and hackneyed, cliched writing puts this on my list of films to avoid. the film obviously tried to capitalize on muniz's rising star power among youngsters and families, but offered little substance for this film to endure. there is never an indication at what makes this dog so special. and it' hard to believe that only two dogs were used for skip; his appearance changes quite frequently throughout the film.if you want a recent ""uplifting"" family film, opt for ""the sandlot.""",negative
"bad design: what a terrible accessory!- the strap that latches the case keeps getting on the way when trying to write.- the palm v can't fit on the hotsynch craddle without removing the case. what a pain!- it adds quite a bit of builkiness to the palm v, making it harder to carry it on a shirt or jacket pocket.i need to find an alternative somehow...i wish my original standard cover hadn't broken...",negative
"the art of steve hanks: i type in steve hanks and up comes wayne gretzky, however underneath it mentions the book i want but i can't get to it. the author is steve hanks. the name of the book is the art of steve hanks",positive
"thank god i got this from the library...: first the disclaimers: i only read the first 000 pages and i'm a pretty extreme left winger on social issues.i never imagined this book could be so awful. it is essentially a package to present mindless blathering on political issues and uses every canned cliche of the ""liberal media."" i couldn't finish it. i'm so irritated by this book i'm venting it out here rather than waiting a bit and crafting a more decent review.i really enjoyed the entire ender series and generally have found osc's other books at least passably readable. however, i seriously doubt i will ever consider picking up another of his books without first getting some glowing recommendations.",negative
no stars: dont buy piece of junk barly shaves anything dont waste your money or beard. have better luck picking hair with twessers. and thats a fact so please dont buy,negative
"the history of morrisville as seen through the eyes of a pedophile.: this guy has been accused of molesting students. something he forgot to mention in his history of the town.from the burlington free press:""in the spring, (superintendent) wrend placed bryer on administrative leave but never reported him to the vermont education department for possible license suspension. in a letter, she threatened to seek suspension unless bryer agreed to discuss leaving the district.he complied and signed an agreement guaranteeing him full pay during his three-month leave, a job reference and a promise from school officials to frame his departure in ""positive"" terms. in exchange, bryer agreed to resign effective june 00 and not sue the district.he quickly found a teaching job in colchester.""read more: [...]this is how morrisville has been dealing with these problems for decades. that would have made one hell of a chapter in his book.",negative
"mistico mess: cacaphony and melodic mush. this album was very disappointing. as a lover of fusion, jazz, rock, worldbeat....music in general, this album requires a lot of patience to feel where the musicians were going. it's a clashing discordant ball of disappointed listening. and i wanted to like it!",negative
"nice features, poor quality sound.: this apex seems to be a fine unit, except the sound quality on the dvd side is quite poor. quality otherwise has been good, unlike some of the previous reviews. have they improved these, or did i just get a good one?",negative
"dreadful!!: for those of you who rated this one highly, here's one of ....we have a bent lawyer who unknowingly has 0 cia agents posing in his office. there are a multitude of hidden cameras filming the lawyer day and night and yet when he goes to the prison the cia only put a mic in his briefcase which ... is supposed to be as big as a golf ball in this day and age. all the time reading it i was thinking, why haven't they wired him all over? a team of crack cia operatives are watching this pathetic drunk and yet he eludes him - but still ... for some unfathomable reason. while the real 'crooks' somehow don't get knocked off by the cia and in the bargain get 0 million dollars each. it's bloody rubbish!!! and childish. in fact, the plot would insult a 00 year old.no star. dreadful!!",negative
"do not buy this dvd under any circumstances.: the movie is one of the all-time best horror films ever made. this dvd is a shining example of why you should do progressive transfers. awful hazy non-progressive transfer may be animorphic... but it's filled with every bad video artifact you can think of (ghosting, combing, it's awfully blurry too). do yourself a favor and buy the collector's edition from amazon.co.uk. it has a much better transfer, dts sound and cool extras. skip this.",negative
"poor stalk, worse handle: one of my biggest requirements when buying an umbrella is that it be one of substance. the handle should be weighty, the stalk should be solid and able to withstand high winds.unfortunately, this umbrella turned out not to have either of those qualities. the handle was quite small. typically, a handle should at least be as long as my hand is wide. this handle was about half that, which provided for very poor grip in high wind situations. the stalk also felt like hollow aluminum, not confidence inspiring at all.i returned this umbrella, i would never buy it again.",negative
"absolute garbage: there are many things wrong with this keyboard, in the first that it's a novel concept, and was directed to be a 'keyboard' marketed towards gamers. i fell for the advertising and spent the first few hours messing with the various configurations and being in awe of the keymapping, but in the end you are still left with a very sub-par product - a rubber dome based keyboard, with folding gimmick top half.it would constantly disconnect from the computer, the drivers had to be reinstalled for it to respond again, it didn't exactly 'work' during bootup other, which forced me to fetch an older keyboard and use that to install windows..overall a very shoddy product. if you want a solid gaming keyboard for your money that won't die on you every 00 minutes after two days of ownership, strongly consider a das keyboard. it's what i'm writing this review on right now, and i've owned it for more than a year, a long time after i've thrown away the worthless zboard as well.",negative
"great product: works exactly as stated, you can also you the cord to connect directly to your pc which give it multiple purposes which is great in any product.",positive
"essential utility: i use this on a jornada 000, and i must say you really need that if you want to avoid scrapes on you handheld.but it is not so easy to assemble without making fngerprints on the display (i started using gloves for that). also the instruction are not so clear. there would be some words helpful.and they are a little to expensive for my taste.",positive
"paxil lovers: music for the paxil overdosed and misguided. a little talent in the drum department does not mean this band is progressive. after i heard this i thought i needed paxil. i honestly cannot believe king crimson opened for this garbage. i guess they thought they could ride the coattails of this popular band. yes, millions can be wrong including pedroza, daniel aka pebozo.",negative
"mind numbingly mindless: after 0 hours of playing this game my brain went into shut down mode, kinda like from staring at a wall for 0 hours. belive me this game is just pretty, and if you like killing things mind-lessly then, by all means play this game! the maximum iq you can have to enjoy this game is 000. if your iq is higher than 000, then you will not like it in most cases.",negative
for movie lovers: i love this game. i play it with my family all the time. since we watch alot of movies together we have alot of fun playing. some of the questions are really challenging so it makes us think harder. now we pay closer attention to the movies we watch so we'll be better the next time we play movie mania. it's really a fun game!,positive
the sex pistols: sex pistolsthe recording is rough but ok if your a sex pistols fan. the packaging is far greater than the quality of the cd inside. recommended for the experienced ear of a true sex pistols fan.,negative
great for the times a computer is ineffective: this product is complete and easy to use.there are times when a computer search just doesn't meet my needs.this product allows me to look up verses by content without fail.,positive
"ok change from metal brushes: these have a very different feel from the metal brushes i have used, but they have some practical advantages.one minor downside on this particular set was that the end caps came off in my hands as soon as i started playing. they were very poorly glued on, but remounting with more and better glue solved this problem. i did not experience this with another set i bought.",negative
"this man's retarded - and so is anyone who gave this more than a 0-star...: obviously, you all have no life to speak of...i would've given it a lower rating (like a minus 0-star!), but i couldn't find it!",negative
